iter	Passed	Remaining
0	3	394
1	9	479
2	14	454
3	19	463
4	23	443
5	28	453
6	34	454
7	38	443
8	42	425
9	47	426
10	52	423
11	56	414
12	61	409
13	66	410
14	72	413
15	78	411
16	83	409
17	90	411
18	96	412
19	100	402
20	105	397
21	111	393
22	113	381
23	117	373
24	123	371
25	129	369
26	135	367
27	141	363
28	146	358
29	151	352
30	156	347
31	161	343
32	165	336
33	171	332
34	176	328
35	182	324
36	187	319
37	193	315
38	198	311
39	204	306
40	209	301
41	215	296
42	221	293
43	225	287
44	231	282
45	237	278
46	243	274
47	250	270
48	255	265
49	260	260
50	267	256
51	271	251
52	278	247
53	284	242
54	289	236
55	294	231
56	300	226
57	304	220
58	308	214
59	313	208
60	319	204
61	326	199
62	332	195
63	340	191
64	344	185
65	350	180
66	355	175
67	362	170
68	368	165
69	373	160
70	379	154
71	384	149
72	390	144
73	394	138
74	401	133
75	407	128
76	415	124
77	422	119
78	427	113
79	433	108
80	439	103
81	446	97
82	453	92
83	460	87
84	467	82
85	474	77
86	482	72
87	488	66
88	495	61
89	502	55
90	509	50
91	517	45
92	523	39
93	528	33
94	536	28
95	544	22
96	551	17
97	557	11
98	563	5
99	570	0
